"Plot","Year","Biomass","PlotType","Biomass.lost"
14,1933,4.89977368601255,"Succ",0
14,1935,17.7221390430558,"Succ",0
14,1938,45.5201177691562,"Succ",0
14,1946,113.285903189939,"Succ",-0.76051501394804
14,1950,157.546295818739,"Succ",-1.29469792185529
14,1955,184.019970913164,"Succ",-6.09127590333984
14,1959,208.607697032201,"Succ",-2.34398982936919
14,1966,246.476300126046,"Succ",-5.19759899667853
14,1977,239.236213854561,"Succ",-59.5330037121777
14,1984,214.055393556125,"Succ",-47.8213282501695
14,1988,233.534182977849,"Succ",-14.4030915891732
14,1992,246.814588403477,"Succ",-0.250602974596049
14,1997,108.743291657472,"Succ",-143.584847328345
14,2000,126.475627953459,"Succ",-8.12032352622238
14,2013,174.968470596801,"Succ",-22.5508047089128
